Current Pose:fist Previous poseunknown
Current Pose:fingersSpread Previous posefist
Current Pose:fist Previous posefingersSpread
Current Pose:waveIn Previous posefist
Current Pose:doubleTap Previous posewaveIn
Current Pose:waveIn Previous posedoubleTap
Current Pose:fist Previous posewaveIn
Current Pose:waveOut Previous posefist
Current Pose:fingersSpread Previous posewaveOut
Current Pose:waveIn Previous posefingersSpread
Current Pose:fingersSpread Previous posewaveIn
Current Pose:waveIn Previous posefingersSpread
Current Pose:fingersSpread Previous posewaveIn
Current Pose:waveOut Previous posefingersSpread
